0,PropertyPlantAndEquipmentNet,LiabilitiesCurrent,StockholdersEquity,CommonStockSharesIssued,PropertySubjectToOrAvailableForOperatingLeaseNet,TreasuryStockShares,DeferredRevenueCurrent,NotesAndLoansReceivableNetNoncurrent,AdditionalPaidInCapitalCommonStock,EmployeeRelatedLiabilitiesCurrent,InventoryNet,CommonStockValue,AccountsPayableCurrent,DebtCurrent,LiabilitiesAndStockholdersEquity,Assets,Goodwill,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,EquityMethodInvestments,OtherAssetsCurrent,MinorityInterest,OtherLiabilitiesNoncurrent,RetainedEarningsAccumulatedDeficit,OtherAssetsNoncurrent,TreasuryStockValue,AccountsReceivableNetCurrent,OtherLiabilitiesCurrent,Liabilities,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,CommonStockSharesOutstanding,CashAndCashEquivalentsAtCarryingValue,TemporaryEquityCarryingAmountAttributableToParent,IntangibleAssetsNetExcludingGoodwill,NotesAndLoansReceivableNetCurrent,LongTermDebtAndCapitalLeaseObligations,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AssetsCurrent
2012,1556000000,5910000000,11521000000,1.24E+12,535000000,-14924000000,438000000,3325000000,5622000000,741000000,1011000000,1239000000,1913000000,1042000000,30015000000,30015000000,9062000000,11664000000,1381000000,1162000000,143000000,778000000,7991000000,2337000000,-104000000,2866000000,1776000000,18002000000,909000000,1.22E+12,1246000000,349000000,2783000000,1836000000,7447000000,-3227000000,8273000000
2013,1466000000,5686000000,12300000000,1.21E+12,559000000,-22001000000,496000000,2917000000,5282000000,734000000,998000000,1210000000,1626000000,1117000000,29036000000,29036000000,9205000000,12419000000,1285000000,1207000000,119000000,757000000,8839000000,2222000000,-252000000,2929000000,1713000000,16268000000,785000000,1.19E+12,1764000000,349000000,2503000000,1500000000,6904000000,-2779000000,8511000000
2014,1123000000,6076000000,10634000000,1.12E+12,525000000,-7609000000,431000000,2719000000,4283000000,754000000,934000000,1124000000,1584000000,1427000000,27658000000,27658000000,8805000000,10709000000,1338000000,1082000000,75000000,498000000,9491000000,2243000000,-105000000,2652000000,1509000000,16600000000,865000000,1.12E+12,1411000000,349000000,2031000000,1425000000,6314000000,-4159000000,8874000000
2015,996000000,5254000000,9074000000,1.01E+12,495000000,0,428000000,2576000000,3017000000,651000000,942000000,1013000000,1614000000,985000000,24817000000,24817000000,8823000000,9117000000,1389000000,644000000,43000000,417000000,9686000000,2088000000,0,2319000000,1576000000,15351000000,785000000,1.01E+12,1368000000,349000000,1765000000,1315000000,6382000000,-4642000000,6685000000
