0,PropertyPlantAndEquipmentNet,AvailableForSaleSecuritiesCurrent,DeferredTaxAssetsNetCurrent,LiabilitiesCurrent,StockholdersEquity,DeferredRevenueCurrent,InventoryNet,AccountsPayableCurrent,LiabilitiesAndStockholdersEquity,Assets,AccruedLiabilitiesCurrent,Goodwill,OtherAssetsCurrent,AvailableForSaleSecuritiesNoncurrent,RetainedEarningsAccumulatedDeficit,OtherAssetsNoncurrent,AccountsReceivableNetCurrent,Liabilities,DeferredRevenueNoncurrent,NontradeReceivablesCurrent,OtherLiabilitiesNoncurrent,CashAndCashEquivalentsAtCarryingValue,IntangibleAssetsNetExcludingGoodwill,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AssetsCurrent
2012,15452000000,18383000000,2583000000,38542000000,1.18E+11,5953000000,791000000,21175000000,1.76E+11,1.76E+11,11414000000,1135000000,6458000000,92122000000,1.01E+11,5478000000,10930000000,57854000000,2648000000,7762000000,16664000000,10746000000,4224000000,499000000,57653000000
2013,16597000000,26287000000,3453000000,43658000000,1.24E+11,7435000000,1764000000,22367000000,2.07E+11,2.07E+11,13856000000,1577000000,6882000000,1.06E+11,1.04E+11,5146000000,13102000000,83451000000,2625000000,7539000000,20208000000,14259000000,4179000000,-471000000,73286000000
2014,20624000000,11233000000,4318000000,63448000000,1.12E+11,8491000000,2111000000,30196000000,2.32E+11,2.32E+11,18453000000,4616000000,9806000000,1.30E+11,87152000000,3764000000,17460000000,1.20E+11,3031000000,9759000000,24826000000,13844000000,4142000000,1082000000,68531000000
2015,22471000000,20481000000,53463000000,80610000000,1.19E+11,8940000000,2349000000,35490000000,2.90E+11,2.90E+11,25181000000,5116000000,9539000000,1.64E+11,92284000000,5556000000,16849000000,1.71E+11,3624000000,13494000000,33427000000,21120000000,3893000000,-345000000,89378000000
