0,PropertyPlantAndEquipmentNet,AdditionalPaidInCapital,PrepaidExpenseAndOtherAssetsCurrent,ReceivablesNetCurrent,LiabilitiesCurrent,StockholdersEquity,OtherAdditionalCapital,DeferredRevenueCurrent,AccruedLiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligationsCurrent,InventoryNet,CommonStockValue,AccountsPayableCurrent,LiabilitiesAndStockholdersEquity,Assets,FiniteLivedIntangibleAssetsNet,Goodwill,OtherLiabilitiesNoncurrent,RetainedEarningsAccumulatedDeficit,OtherAssetsNoncurrent,TreasuryStockValue,LongTermDebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,PreferredStockValue,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AssetsCurrent
2012,1321000000,6078000000,404000000,9975000000,21357000000,7070000000,14000000,1359000000,1912000000,352000000,10335000000,4,16108000000,34786000000,34786000000,2270000000,6405000000,1838000000,10402000000,1620000000,-9363000000,4521000000,2456000000,0,-65000000,23170000000
2013,2222000000,6552000000,879000000,14193000000,29501000000,8522000000,23000000,1236000000,3478000000,1424000000,13308000000,4,21429000000,51759000000,51759000000,5022000000,9927000000,2991000000,11453000000,2015000000,-9507000000,8949000000,4193000000,0,-3000000,32573000000
2014,2045000000,6968000000,1119000000,15914000000,33497000000,8001000000,-7000000,1078000000,3769000000,1529000000,14296000000,4,25166000000,53870000000,53870000000,3441000000,9817000000,2722000000,12705000000,1897000000,-9956000000,8180000000,5341000000,0,-1713000000,36670000000
2015,2278000000,5845000000,1074000000,17980000000,35071000000,8924000000,-2000000,919000000,3948000000,1612000000,15335000000,3,28585000000,56563000000,56563000000,3021000000,9786000000,1809000000,8360000000,3041000000,-3721000000,6535000000,4048000000,0,-1561000000,38437000000
