0,PropertyPlantAndEquipmentNet,AdditionalPaidInCapitalCommonStock,LongTermDebtNoncurrent,ReceivablesNetCurrent,LiabilitiesCurrent,StockholdersEquity,ShortTermBorrowings,LiabilitiesNoncurrent,InvestmentsAndOtherNoncurrentAssets,TreasuryStockValue,AccruedLiabilitiesCurrent,IncomeTaxesReceivable,PrepaidExpenseCurrent,InventoryNet,CommonStockValue,AccountsPayableCurrent,LiabilitiesAndStockholdersEquity,Assets,FiniteLivedIntangibleAssetsNet,Goodwill,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,OtherAssetsCurrent,MinorityInterest,OtherLiabilitiesNoncurrent,DefinedBenefitPensionPlanLiabilitiesNoncurrent,RetainedEarningsAccumulatedDeficit,OtherLiabilitiesCurrent,CashAndCashEquivalentsAtCarryingValue,AccruedIncomeTaxesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AssetsCurrent
2012,1232800000,1329300000,562900000,1509300000,1849800000,3758600000,69800000,944400000,341300000,-305.5,497100000,27600000,59600000,611000000,102800000,1055900000,6570300000,6570300000,96200000,1610800000,3776100000,104000000,17500000,126100000,255400000,2672500000,173100000,977700000,53900000,-40500000,3289200000
2013,1336200000,1329300000,279100000,1688000000,2428500000,3981300000,339400000,554100000,259000000,-417.2,633900000,56000000,86100000,661800000,102800000,1199900000,6983000000,6983000000,77300000,1610100000,4000400000,90200000,19100000,127700000,147300000,2965900000,180500000,1118300000,74800000,500000,3700400000
2014,1390200000,1329300000,1521200000,1706300000,2138600000,3427100000,79600000,1862200000,255300000,-992,720100000,54600000,95400000,675500000,102800000,1091500000,7442900000,7442900000,67200000,1594000000,3442100000,75400000,15000000,108500000,232500000,3240000000,178300000,1529000000,69100000,-253000000,4136200000
2015,1437100000,1329300000,1499400000,1787600000,2226400000,3455600000,39600000,1831000000,255800000,-1067.4,755600000,33400000,99600000,711400000,102800000,1169600000,7525500000,7525500000,128000000,1666300000,3468100000,72800000,12500000,134600000,197000000,3499400000,190500000,1333500000,71100000,-408500000,4038300000
