0,PropertyPlantAndEquipmentNet,AvailableForSaleSecuritiesCurrent,DepositsReceivedForSecuritiesLoanedAtCarryingValue,RetainedEarningsAccumulatedDeficit,LiabilitiesCurrent,StockholdersEquity,DeferredTaxLiabilitiesNoncurrent,DeferredRevenueCurrent,IncomeTaxesReceivable,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,EmployeeRelatedLiabilitiesCurrent,CashCashEquivalentsAndShortTermInvestments,AccountsPayableCurrent,DebtCurrent,CommonStocksIncludingAdditionalPaidInCapital,LiabilitiesAndStockholdersEquity,Assets,AccruedLiabilitiesCurrent,Goodwill,LiabilityForUncertainTaxPositionsNoncurrent,OtherLiabilitiesNoncurrent,IntangibleAssetsNetExcludingGoodwill,AccountsReceivableNetCurrent,DeferredRevenueNoncurrent,CashAndCashEquivalentsAtCarryingValue,OtherLongTermInvestments,AccruedIncomeTaxesCurrent,LongTermDebtAndCapitalLeaseObligations,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AssetsCurrent
2012,11854000000,33310000000,1149399532,48342000000,14337000000,71715000000,1872000000,895000000,343841807,0,2239000000,48088000000,2012000000,2464308326,22835,93798000000,93798000000,3258000000,10537000000,2046000000,740000000,7473000000,7885000000,100000000,14778000000,1469000000,240000000,1748524076,538000000,60454000000
2013,16524000000,39819000000,1374000000,61262000000,15908000000,87309000000,1947000000,1062000000,408000000,0,2502000000,58717000000,426000000,3009000000,25922,1.1092E+11,1.1092E+11,3755000000,11492000000,2638000000,743000000,6066000000,8882000000,139000000,18898000000,1976000000,24000000,2236000000,125000000,72886000000
2014,23883000000,46048000000,2778000000,75706000000,16805000000,1.045E+11,1971000000,752000000,1298000000,0,3069000000,64395000000,1715000000,2009000000,28767,1.31133E+11,1.31133E+11,4434000000,15599000000,3407000000,1118000000,4607000000,9383000000,104000000,18347000000,3079000000,96000000,3228000000,27000000,80685000000
2015,29016000000,56517000000,2428000000,89223000000,19310000000,1.20331E+11,189000000,788000000,1903000000,0,3539000000,73066000000,1931000000,3225000000,32982000000,1.47461E+11,1.47461E+11,4768000000,15869000000,3663000000,1822000000,3847000000,11556000000,151000000,16549000000,5183000000,302000000,1995000000,-1874000000,90114000000
